,title,authors,venue,year,unique_id
290,cost-based optimization of decision support queries using transient views,"sn subramanian , s venkataraman","sigmod conference ,",1998.0,290
291,deadlock-freedom ( and saftey ) of transactions in a distributed database,"o wolfson , m yannakakis","proceedings of the fourth acm sigact-sigmod symposium on & hellip ; ,",1985.0,291
292,spatial query processing in an object-oriented database system,ja orenstein,proceedings of the 1986 acm sigmod international conference,,292
293,interoperability in multidatabase systems,"d mcleod , a sheth","tutorial notes-the 20th vldb conference , september ,",,293
294,a formal perspective on the view selection problem,"r chirkova , ay halevy , d suciu","the vldb journal the international journal on very large & hellip ; ,",2002.0,294
295,pixel-oriented database visualizations,da keim,"sigmod record ,",1996.0,295
296,fact division chair 's message,"ak gupta , d mahr",,,296
297,join algorithms for online aggregation,"pj haas , jm hellerstein",,1998.0,297
298,temporal inegrity constraints in relational databases,j chomicki,,,298
299,database research at arizona state university,"sd urban , sw dietrich , f golshani","sigmod record ,",1996.0,299
300,standard for multimedia databases,jr smith,"proceedings of the 2001 acm sigmod international conference & hellip ; ,",2001.0,300
301,thetheoryofprobabilistic databases,"r cavallo , m pittarelli","proc . vldb ,",,301
302,on-line warehouse view maintenance,"d quass , j widom",,,302
303,object-oriented database systems : in transition,"f bancilhon , w kim","sigmod record ,",1990.0,303
304,virtual document generation from multimedia repositories,"if cruz , wt lucas","proc . 5th acm int . multimedia conf ,",,304
305,an effective hash algorithm for mining association rules,"j park , m chen , p yu",proceedings of the 1995 acm sigmod international conference,,305
306,xcerpt and visxcerpt : from pattern-based to visual querying of xml and semistructured data (,"s berger , f bry , s schaffert , c wieser",,,306
307,an introduction to spatial database system,r gunting,"proceedings for the international conference on very large & hellip ; ,",,307
308,enabling . enabling dynamic content caching for database-driven web sites,"ks candan , ws li , q luo , wp hsiung , d agrawal",acm,,308
309,dynamic multidimensional histograms,"s guha , p indyk , n koudas , n thaper","proc . acm sigmod ,",,309
310,fuzziness in database management systems,p bosc,heidelberg :,,310
311,a human-computer interactive method for projected clustering,cc aggarwal,"knowledge and data engineering , ieee transactions on ,",2004.0,311
312,dbxplorer : enabling keyword search over relational databases,"s agrawal , s chaudhuri , g das","proceedings of the 2002 acm sigmod international conference & hellip ; ,",2002.0,312
313,binding propagation in disjunctive databases,s greco,"vldb ,",1998.0,313
314,the x-tree : an index structure for high-dimensional data [ a ],"b stefan , da keim , hp kriegel","proceedings of the 22nd international conference on very & hellip ; ,",1996.0,314
315,user adaptable multimedia presentations for the www,"f rousseau , ja garcia-macias , jv de lima , a duda","computer networks ,",1999.0,315
316,control strategies for complex relational query processing in shared nothing systems,"l brunie , h kosch","sigmod record ,",1996.0,316
317,report on l irst international workshop on real-time database systems,s son,"sigmod record ,",1996.0,317
318,efficient user-adaptable similarity search in large multimedia databases,"s thomas , h kriegel","proc . 23th int . conf . on vldb ,",,318
319,editor 's notes,tw banta,"implementing outcomes assessment : promise and perils . new & hellip ; ,",,319
320,fast search in main memory databases,"aa ap , s pramanik",proceedings of the acm sigmod international conference on,,320
321,dynamic memory adjustment for external mergesort,"pa larson , w zhang",,,321
322,multiple query processing,tk sellis,"acm transactions on database systems ,",,322
323,iterative spatial join,"eh jacox , h samet","acm transactions on database systems ,",2003.0,323
324,secure transaction processing in firm real-time database systems,"b george , j haritsa","sigmod conference ,",1997.0,324
325,compressed accessibility map : efficient access control for xml .,"t yu , d srivastava , lvs lakshmanan , hv jagadish","vldb ,",2002.0,325
326,a framework for supporting data integration using the materialize and virtual approaches,"rh hz961 , g zhou","proc , acm sigmod intl. co @ management of data , montreal , & hellip ; ,",,326
327,history of programming languages,rl wexelblat,,1981.0,327
328,database research at the university of oklahoma .,acms anthology,"sigmod record ,",1999.0,328
329,generating association rules for prefetching,s drapeau,"icdcs workshop of knowledge discovery and data mining in the & hellip ; ,",2000.0,329
330,minimization of tree patterns queries,"s flesca , f furfaro , e masciari","proceedings of the 29th vldb conf ,",,330
331,manolopoulosy ( 1994 ) fast subsequence matching in time-series databases,"c faloutsos , m ranganathan",& hellip ; . acm international conference on management of data ( sigmod,,331
332,the infosleuth project .,"acms anthology , p edition",,,332
333,reminiscences on influential papers,e bertino,"acm transactions on database systems ,",1976.0,333
334,integrating a structured-text retrieval system with an object-oriented database system,"tw yantt , j annevelinkt",,,334
335,efficient view maintenance warehouses,"d agrawal , a el abbadi , a singh , t yurek","proc . of the 1997 acm sigmod international conference on & hellip ; ,",,335
336,the merge/purge problem for large databases,"ma hernandez , sj stolfo","proceedings of the 1995 acm sigmod international conference & hellip ; ,",1995.0,336
337,editorial,"j harmer , j turnbull","bt technology journal ,",2002.0,337
338,"priority-based scheduling in real-time database systems , ''","sh son , ch chang","proceedings of the 15th vldb conference ,",,338
339,integrity constraint in deductive databases,"ra kowalski , f sadri , p soper","proceedings of the 13th vldb conference , brighton",,339
340,"data warehousing : an overview , 1999",g gagnon,pc,,340
341,efficient constraint processing for location-aware computing,"z xu , ha jacobsen",,,341
342,efficient code distribution in wireless sensor networks,"n reijers , k langendoen","proceedings of the 2nd acm international conference on & hellip ; ,",2003.0,342
343,of objects and databases : a decade of turmoil,"mj carey , dj dewitt","vldb ,",1996.0,343
344,unisql/x unified relational and object-oriented database system,w kim,"sigmod conference ,",1994.0,344
345,design and implementation of the glue-nail database system,"mads morishita , g phippst",,,345
346,measuring individual differences in empathy : evidence for a multidimensional approach,mh davis,"journal of personality and social psychology ,",,346
347,metu interoperable database system,al dogac aet,proceedings of the 1996 acm sigmod int . conf . on management,,347
348,large scientific databases,"r williams , p messina , f gagliardi , j darlington ,",,,348
349,the lotus notes [ tm ] storage system,portal.acm.org,"sigmod record ,",1995.0,349
350,rainbow : multi-xquery optimization using materialized xml views,"x zhang , k dimitrova , l wang , m el sayed , b murphy","proceedings of the 2003 acm sigmod international conference & hellip ; ,",2003.0,350
351,discovery of multiple-level rules from large databases .,y fu,,,351
352,access pathselectionina relationaldatabase management system,"p selinger , mm astrahan , dd chamberlin , ra lorie ,","proceedings of the acm-sigmod international conference on & hellip ; ,",,352
353,"advanced data processing in krisys : modeling concepts , implementation techniques , and client/server","s deã?loch , t hã $ rder , n mattos , b mitschang , j","the vldb journal the international journal on very large & hellip ; ,",1998.0,353
354,nearest neighbor queries,"n rossopoulos , s kelly , f vincent","proc . of acm-sigmod ,",,354
355,operating in a new environment,"v puglia , c petzold , md stone , j dunte-mann , p","pc magazine ( feb. ) ,",,355
356,mocha : a self-extensible database middleware system for distributed data sources,"mr martinez , n roussopoulos","acm sigmod international conference on management of data ,",,356
357,optimizing top-k selection queries over multimedia repositories,"l gravano , a marian","ieee transactions on knowledge and data engineering ,",2004.0,357
358,a query model for object-oriented databases,w krm,proceedings of the international conference on very large,,358
359,efficient relational storage and retrieval of xml documents,"a schmidt , ml kersten , m windhouwer , f waas","webdb ( informal proceedings ) ,",2000.0,359
360,modeling multidimensional da [ abases,"r agrawal , a gupta , s sarawagi","technical report , ibm almaden research center , 650 harry road ,",,360
361,hypertext categorization using hyperlink patterns and meta data,"r ghani , s slattery , y yang",,,361
362,on using prolog to implement object-oriented databases,"nw paton , s leishman , sm embury , pmd gray","information and software technology ,",1993.0,362
363,watermarking relational databases,"j kiernan , r agrawal","proceedings of the 28th international conference on very & hellip ; ,",,363
364,editor 's notes,wmk trochim,"new directions for program evaluation ,",,364
365,the-kdb tree : a fast index structure for high-dimensional similarity joins,"k shim , r srikant , r agrawal","research report , ibm almaden research center , san jose , & hellip ; ,",,365
366,mannila . efficient algorithms for discovering frequent sets in incremental databases,"r feldman , y aumann","proc . 1997 sigmod workshop on research issues on data mining & hellip ; ,",,366
367,xml 's impact on databases and data sharing,l seligman,,,367
368,the ccube constraint object-oriented database,"a brodsky , ve segal , j chen , pa exarkhopoulo",proc . acm sigmod conf . on management of,,368
369,tutorial on object-oriented databases,ms jackson,"information and software technology ,",1991.0,369
370,crawling the hidden web .,"h garcia-molina , s raghavan","27th international conference on very large data bases ,",,370
371,distance-basedindexing for high dimensional metric spaces,tbm ozsoyoglu,"proc . of sigmod ,",,371
372,large databases for remote sensing and gis,ar dasgupta,"proceedings of the international conference on very large & hellip ; ,",1996.0,372
373,scalable parallel data mining for association rules,"h eui-hong , g karypis","ieee transactions on knowledge and data engineering ,",,373
374,real-time database systems : issues and approaches,sh son,acm sigmod,,374
375,design and implementation of a biodiversity information management system,"sj bedathur , jr haritsa","& hellip ; of the tenth international conference on management of data ,",,375
376,research directions in object-oriented databases,w kim,"proc . of the 9th acm sigact-sigmod-sigart symposium on & hellip ; ,",,376
377,temporal database system implementations,m bã ¶ hlen,"acm sigmod record ,",1995.0,377
378,gibbs . concurrency control in groupware systems,"ca ellis , j simon","sigmod conference ,",,378
379,parametric query optimization,"ye ioannidis , rt ng , k shim , tk sellis","the vldb journal the international journal on very large & hellip ; ,",1997.0,379
380,a distributed heterogeneoussutercomputing management system,"g arif , j yang","ieee computer ,",,380
381,java and relational databases : sqlj ( tutorial ),"p shaw , b becker , j klein , m hapner , g clossman , r",,1998.0,381
382,the design and implementation of k : a highlevel knowledge-base programming language of osam *,"ym shyy , j arroyo-figueroa , syw su , h lam","kbms , &#39; &#39; very large data bases ( vldb ) journal ,",,382
383,advances in databases and information systems : report of 5 theast european conference adbis ' 2001,"a caplinskas , j eder , o vasilecas","acm sigmod record ,",2002.0,383
384,in memory of bob kooi ( 1951â ?? 1993 ),m stonebraker,"acm sigmod record ,",1994.0,384
385,dynamat : a dynamic view management system for data warehouse,"y kotodis , n roussopoulos","proceedings of the acm sigmod ,",,385
386,"suresha , krithi ramamritham , proxy-based acceleration of dynamically generated content on the world","a datta , k dutta , h thomas , d vandermeer","proceedings of the 2002 acm sigmod international conference & hellip ; ,",,386
387,relational data-base management systems,dd chamberlin,"acm computing surveys ( csur ) ,",1976.0,387
388,applying update streams in a soft real-time database system,"b adelberg , h garcia-molina , b kao","sigmod conference ,",1995.0,388
389,implementation of a time expert in a database system,"i avancges , m st pikre de chartreuse",,1985.0,389
390,the r + - tree : a dynamic index for multi-dimensional objects,"t settis , n roussopoulos , c faloutsos","proc . 13 vldb conference , brighton ,",,390
391,"using taxonomy , discriminants , and signatures for navigating in text databases","s chakrabarti , b dom , r agrawal , p raghavan","vldb ,",1997.0,391
392,software and book review column,"g columnist , t nelson-graham",,,392
393,the ccube constraint object-oriented database system,"a brodsky , ve segal , j chen , pa exarkhopoulo","constraints ,",1997.0,393
394,optimizing recursive queries in sql,c ordonez,"proceedings of the 2005 acm sigmod international conference & hellip ; ,",2005.0,394
395,turbo-charging vertical mining of large databases,"p shenoy , jr haritsa , s sudarshan , g bhalotia , m","sigmod conference ,",2000.0,395
396,query processing and caching in tertiary memory,s sarawagi,"proc . of the 21st conference on very large databases , zurich ,",,396
397,business data management for business-to-business electronic commerce,"c quix , m schoop , m jeusfeld","sigmod record ,",2002.0,397
398,report on the 1995 international workshop on temporal databases,"a segev , cs jensen , rt snodgrass","sigmod record ,",1995.0,398
399,a foundation for multi-dimensional databases,"m gyssens , lvs lakshmanan",,,399
400,principles of optimally placing data in tertiary storage libraries,"s christodoulakis , p triantafillou , f zioga","proceedings of the international conference on very large & hellip ; ,",1997.0,400
401,the o 2 object-oriented database system,f bancilhon,proceedings of the 1992 acm sigmod-international conference,,401
402,storage and retrieval of xml data using relational db,"s chandhuri , k shim",proceedings of the international vldb,,402
403,needha chair 's message,m hagler,"ieee edsoc/asee ee div . '' newsletter '' , spring",,403
404,finite-tree analysis for constraint logic-based languages,"r bagnara , r gori , pm hill , e zaffanella","lecture notes in computer science ,",2001.0,404
405,andi . n. subramanian . schemasql-a languagefor interoperabilityin relationalmulti-database systems,"l lakshmanan , f sadri","proc . vldb conf ,",,405
406,panel : interoperability in multidatabases : semantic and systems issues,y breitbartâ ? ¦,"proc of vldb ,",,406
407,mt zsu . issues in data stream management,l golab,"sigmod rec ,",,407
408,databases for gis,"c bauzer medeiros , f pires",acm sigmod record 23,,408
409,efficient recursive xml query processing in relational database systems,"s prakash , ss bhowmick , s madria",,,409
410,the theory of probabilistic databases,"r cavallo , m pittarelli","vldb ,",1987.0,410
411,quilt : an xml query language for heterogeneous data sources,"dd chamberlin , j robie , d florescu","webdb ( informal proceedings ) ,",2000.0,411
412,mixed reality applications in urban environments,"j bulman , b crabtree , a gower , a oldroyd , m lawson","bt technology journal ,",2004.0,412
413,optimizing top-k selection queries over multimedia repositories,"s chaudhuri , l gravano , a marian","knowledge and data engineering , ieee transactions on ,",2004.0,413
414,set-oriented production rules in relational database systems,portal.acm.org,,,414
415,event specification in an active object-oriented database,"nh gehani , hv jagadish , o shmueli",,,415
416,mtcache : mid-tier database caching for sql server,"palj goldstein , h guo , j zhou",,,416
417,a querying language and optimization techniques for unstructured data,"p buneman , s davidson , g hillebrand","proceedings of acm sigmod conference on management of data , & hellip ; ,",,417
418,an or-dbms with enhanced data types,"p seshadri , mp predator","acm sigmod conf. , tucson , arizona ,",,418
419,a general framework for expressing preferences in causal reasoning and planning,"pj delgrande , t schaub , h tompits",,,419
420,walking through a very large virtual environment in real-time . 27th int,"l shou , j chionh , z huang , y ruan , kl tan","conf . on very large data bases ,",,420
421,building an interoperable distributed image database management system,b yao,,,421
422,high performance escrow algorithms for replicated databases,"n krishnakumar , aj bernstein",proceedings of 18th vldb,,422
423,"database management systems : relational , object-relational , and object-oriented data models",ood models,,,423
424,survey : continuous query over data streams,s rahul,"acm sigmod record ,",,424
425,database research at citri,"r sacks-davis , k ramamohanarao","sigmod record ,",1992.0,425
426,join algorithms for online aggregation,"pj haas , jm hellerstein",,1998.0,426
427,query optimization by stored queries,"k subieta , w rzeczkowski","vldb ,",1987.0,427
428,on the performance analysis of multi-dimensional r-tree-based data structures,"y theodoridis , t sellis","greece : national technical university of athens ,",,428
429,mining generalized association rules . 1995 . 13p,"r agrawal , r srikant","proceedings of 21st vldb conference zurich ,",,429
430,1.0 : an xml query language,"j clark , d florescu , j robie , j simeon , ms xquery",,,430
431,director 's message,"ofe announcements , webb learning , f commons",,,431
432,distributed concurrency control performance : a study of algorithms,"mj carey , m livny","distribution , and replication , '' proc . of vldb conf. , august ,",,432
433,efficient locking for shared memory database systems,"ld molesky , k ramamritham",,1994.0,433
434,functional completeness in object-oriented databases,"p mishra , m eich","acm sigmod record ,",1992.0,434
435,"interoperable information systems : motivations , challenges , approaches , and status",ml brodie,"& hellip ; conference on very large data bases ( vldbâ ?? 93 ) , dublin , & hellip ; ,",,435
436,generating query forms and reports for semistructured data : the qursed editor,"y papakonstantinou , m petropoulos , v vassalos",,,436
437,experimentalevaluationofreal-timeconcurrency control schemes,"j huang , ja stankovic",proceedings of the 17th vldb conference ( sept. .,,437
438,time series similarity measures and time series indexing,"d gunopulos , g das","proceedings of the 2001 acm sigmod international conference & hellip ; ,",2001.0,438
439,programming a database research problem,gui is,"nita goyal , charles hoch , ravi krishnamurthy , brian meckler , & hellip ; ,",,439
440,the indiana center for database systems,j copler,"acm sigmod record ,",1991.0,440
441,efficiently monitoring relational databases,"op buneman , ek clemons","acm transactions on database systems ( tods ) ,",1979.0,441
442,batch data warehouse maintenance in dynamic environments,"b liu , s chen , ea rundensteiner",,,442
443,towards on-line analytical mining in large databases,j han,"sigmod record ,",1998.0,443
444,storing semistructured data with stored,"a deutsch , m fernandez , d suciu","sigmod conference ,",1999.0,444
445,replication : db2,d stacey,oracle or sybaseâ ?? database programming &,,445
446,optimization of nonrecursive queries,"r krishnamurthy , h boral , c zaniolo","vldb ,",1986.0,446
447,the database research group at eth zurich,"mc norrie , s blott , hj schek , g weikum","sigmod record ,",1994.0,447
448,parallel database systems : the future of high performance database processing,"m mehta , dj dewitt","proceedings of the 21st vldb conference ,",,448
449,mining frequent patterns with out candidate generation,"j han , j pei , y yin","proceedings ofacm international conference on management of & hellip ; ,",,449
450,space optimization in deductive databases,"a baltrunas , d srivastava , s sudarshan , r","acm transactions on database systems ,",1995.0,450
451,a study of transitive closure as a recursion mechanism,"hv jagadish , r agrawal , l ness","proceedings of the 1987 acm sigmod international conference & hellip ; ,",1987.0,451
452,distance browsing in spatial databases,"gr hjaltason , h samet","acm transactions on database systems ,",1999.0,452
453,wavecluster : a wavelet-based clustering approach for spatial data in very large databases,"g sheikholeslami , s chatterjee , a zhang","the vldb journal the international journal on very large & hellip ; ,",2000.0,453
454,management of semistructured data,d suciu,"sigmod record ,",1997.0,454
455,reminiscences on influential papers,r snodgrass,"acm transactions on database systems ,",1976.0,455
456,"i iuang , q. , and dom b. query by image and video content : the qbic system","m flickner , h sawhney , w niblack , j ashley","ieee computer ,",,456
457,fast and accurate text classification via multiple linear discriminant projections,"s chakrabarti , s roy , mv soundalgekar","the vldb journal the international journal on very large & hellip ; ,",2003.0,457
458,dynamic service matchmaking among agents in open information systems,"k sycara , m klusch , s widoff , j lu","acm sigmod record . special issue on semantic & hellip ; ,",,458
459,an evaluation of generic bulk loading techniques,"j den bercken , b seeger","proceedings of the international conference on very large & hellip ; ,",2001.0,459
460,answermg queries m relational databases,"mm ad ` atn , n spyratos","proc a cm sigmod int conference on management of data , san",,460
461,editors ' notes,"c knapper , s piccinin","new directions for teaching and learning ,",,461
462,declarative updates of relational databases,w chen,"acm transactions on database systems ,",1995.0,462
463,a cost model for query optimization using r-trees,"wg aref , h samet","acm-gis ,",,463
464,image mining in iris : integrated retinal information system,"w hsu , ml lee , kg goh","sigmod conference ,",2000.0,464
465,research in database engineering at the university of namur,jl hainaut,"sigmod record ,",2003.0,465
466,introduction,rm keesing,"see herdt ,",,466
467,update replicated data during communication failures,"b blaustein , o kaufman",,1985.0,467
468,"a. : 1993 , mining association rules between sets of items in large databases","ri agrawal , t swami",proceedings of the 1993 acm sigmod international conference,,468
469,"constructing and integrating data-centric web applications : methods , tools , and techniques","s ceri , i manolescu","proceedings of the international conference on very large & hellip ; ,",2003.0,469
470,research issues in moving objects database,"p sistla , o wolfson",proceedings of acm sigmod international conference on,,470
471,1996 . deeds | towards a distributed active and real-time database system,"sf andler , j hanson , j eriksson , j mellin , m",acm sigmod,,471
472,a tutorial on asn . 1,p gaudette,computer,,472
473,processing multi-join query in parallel systems,"kl tan , h lu","& hellip ; on applied computing : technological challenges of the 1990 &#39; s ,",1992.0,473
474,detection and classification of intrusions and faults using sequences of system calls,"jbd cabrera , l lewis , rk mehra","sigmod record ,",2001.0,474
475,cure : an efficient algorithm for large databases,"s guha , r rastogi , k shim","proc . acm sigmod ,",,475
476,parametric query optimization : a geometric approach,vgv prasad,,1999.0,476
477,mining associations between sets of items in massive database .,"r agrwal , t imielinski , a swami","proc of the acm sigmod int &#39; i conference on management of & hellip ; ,",,477
478,keynote address : computers versus common sense,db lenat,"proceedings of the 1991 acm sigmod international conference & hellip ; ,",1991.0,478
479,an active object-oriented database : a multi-paradigm approach to constraint management,"h ishikawa , k kubota",,,479
480,j. . j. ordille . quering heterogeneous information sources using source descriptions,"ay levi , a rajaraman","proc . 22nd vldb conference , bombay , india ,",,480
481,research issues in databases for arcs : active rapidly changing data systems,a datta,"sigmod record ,",1994.0,481
482,on testing satisfiability of tree pattern queries,"lvs lakshmanan , g ramesh","proceedings of the international conference on very large & hellip ; ,",2004.0,482
483,querying multidimensional databases .,acms anthology,,,483
484,incremental maintenance of externally materialized views,"m staudt , m jarke","vldb ,",1996.0,484
485,"fault-tolerant , load-balancing queries in telegraph","ma shah , s chandrasekaran","proceedings of the 2001 acm sigmod international conference & hellip ; ,",2001.0,485
486,"finding generalized projected clusters in high dimensional spaces , sigmoid record v. 29 , no. 2 , 2000","c aggrawal , ps yu","on management of data , dallas , tx ,",,486
487,efficient data view maintenance warehouses,"d agrawal , a el abbadi , a singh , t yurek","proc . acm sigmod ,",,487
488,parallel query processing in shared disk database systems,e rahm,"sigmod record ,",1993.0,488
489,quickstore : a high performance mapped object store,"sj white , dj dewitt","the vldb journal the international journal on very large & hellip ; ,",1995.0,489
490,management of it services,"m feridum , gd rodosek","computer networks ,",,490
491,"mp and morris on , r. 1995 . orthogonally persistent systems",on atkins,the vldb,,491
492,database research at the university of illinois at urbana-champaign,"m winslett , kcc chang , ah doan , j han , c zhai , y","sigmod record ,",2002.0,492
493,approximate xml query answers,"n polyzotis , m garofalakis , y ioannidis",proc . of the acm sigmod int . conf . on management of,,493
494,mining quantitative association rules in large relation tables,"r sirkant , r agrawal","proceedings of acm sigmod conference of management of data ,",,494
495,privacy preserving of association rules,"r agrawal , r srikant , a evfimievski , j gehrke","proceeding of 8th acm sigmod conference on knowledge & hellip ; ,",,495
496,efficient evaluation of regular path expressions on streaming xml data,"z ives , a levy , d weld","submitted for publication ,",2000.0,496
497,materialized views and data warehouses .,acms anthology,"sigmod record ,",1998.0,497
498,algebraic optimization of object-oriented query languages .,acms anthology,,,498
499,maintenance of views,"o shmueli , a itai","proceedings of the 1984 acm sigmod international conference & hellip ; ,",1984.0,499
500,on parallel processing ofaggregateandscalar functionsinobjectrelationaldbms,"m jaedicke , b mitschang","proc . of acm sigmod ,",,500
501,stholes : a workload aware multidimensional histogram,"n bruno , l gravano , s chaudhuri","proceedings of the acm sigmod conference ,",,501
502,source international conference on management of data archive,"s mehrotra , t sellis","proceedings of the 2001 acm sigmod international conference & hellip ; ,",2001.0,502
503,"g. graefe , optimization of dynamic query evaluation plans",rl cole,proc . of the/994 acm,,503
504,evaluation of remote backup algorithms for transaction processing systems,"h garcia-molina , c polyzois","acm transactions on database systems ,",,504
505,dbxplorer : a system for keyword-based search over relational databases,"s agrawal , s chaudhuri , g das",,,505
506,distributed data structures in linda,"n carriero , d gelernter , j leichter","proceedings of the 13th acm sigact-sigplan symposium on & hellip ; ,",1986.0,506
507,incomplete information in relational databases,"t imieliã?nski , w lipski","j. acm ,",,507
508,integration of electronic tickets and personal guide system for public transport using mobile,"k goto , y kambayashi",,,508
509,query processing in a relational database management system,"k youssefi , e wong","vldb ,",1979.0,509
510,converting relational to object-oriented databases,j fong,"sigmod record ,",1997.0,510
511,small worlds : the dynamics of networks between order and randomness,dj watts,,1999.0,511
512,subset queries in relational databases,"sr valluri , k karlapalem",,,512
513,a web service architecture for enforcing access control policies,"ca ardagna , e damiani , sdc di vimercati , p",,,513
514,interview with authors,e larson,"san diego ,",,514
515,dynamic multi-resource load balancing in parallel database systems,"e rahm , r marek",,1995.0,515
516,global warming to the internet,e horwitt,"computerworld ,",,516
517,a content-based multimedia server for massively parallel architectures,"wo ` connell , it ieong , d schrader , c watson , g au ,","sigmod conference ,",,517
518,editor 's notes,sm richardson,"new directions for teaching and learning ,",1999.0,518
519,nearest neighbor queries in metric spaces,kl clarkson,"discrete and computational geometry ,",1999.0,519
520,guest editorial,h simon,"public administration review ,",1995.0,520
521,dynamic load balancing in parallel database systems,e rahm,,,521
522,foreword,"cm christensen , d sundahl","bt technology journal ,",2001.0,522
523,spatialhash-joins,rcv loml,"proceedingsof acm sigmod conference , montreal ,",,523
524,efficient evaluation of xquery over streaming data,"x li , g agrawal",proceedings of the 31th vldb,,524
525,clarans : a method for clustering objects for spatial data mining,rt ng,,,525
526,updating relational databases through object-based views,"a keller , t barsalou , n siambela , g wiederhold","proc . acm sigmod ,",,526
527,the query by image content ( qbic ) system,"j ashley , m flickner , j hafner , d lee , w niblack ,","proceedings of the 1995 acm sigmod international conference & hellip ; ,",1995.0,527
528,editor 's notes,r diem,"social studies and the young learner ,",,528
529,next generation database systems wonâ ?? t work without semantics ! panel session,j myopoulos,"sigmod record ,",,529
530,the ccube constraint object-oriented database system,"a brodsky , ve segal , j chen , pa exarkhopoulo","constraints ,",1997.0,530
531,transactions in relational databases,"s abiteboul , v vianu","proc . 10th znt . co @ very large data bases , singapore ,",,531
532,extraction of object-oriented structures from existing relational databases,"s ramanathan , j hodges","sigmod record ,",1997.0,532
533,enterprise transaction processing on windows nt,"g hope , c architect","fortune ,",1995.0,533
534,temporal database system implementations,mh bohlen,"acm sigmod record ,",,534
535,data mining : concepts and techniques by jiawei han and micheline kamber,"f berzal , n matãn","acm sigmod record ,",2002.0,535
536,an effective deductive object-oriented database through language integration,"ml barja , nw paton , aaa fernandes , mh williams","proceedings of the international conference on very large & hellip ; ,",1994.0,536
537,multimedia documents with elastic time,"my kim , j song","& hellip ; of the third acm international conference on multimedia ,",1995.0,537
538,editor 's notes,wmk trochim,"new directions for program evaluation ,",,538
539,query optimization in the presence of top -,"lp mahalingam , ks candan",,,539
540,comparative analysis of five xml languages,"a bonifati , s ceri","sigmod record ,",,540
541,detecting change in data streams,"d kifer , s ben-david , j gehrke","proceedings of the international conference on very large & hellip ; ,",2004.0,541
542,living with xml and relational,"f manolescu , d florescu , d kossmann , f xhumari , d","proc . vldb conference ,",,542
543,edgar f. codd . a tribute and personal memoir,c date,"acm sigmod record ,",2003.0,543
544,oz + : an object-oriented database system,"sp weiser , fh lochovsky","acm press frontier series ,",1989.0,544
545,clarans : efficient and effective clustering method for spatial data mining,r ngâ ? ¦,proc . 1994 int . conf . very large data bases,,545
546,tutorial : application servers and associated technologies,c mohan,"sigmod conference ,",2002.0,546
547,guest editorial,ay halevy,"the vldb journal the international journal on very large & hellip ; ,",2002.0,547
548,the middleware muddle,g huston,,,548
549,the ecobase project : database and web technologies for environmental information systems ',l bouganim,"acm sigmod record , september ,",2001.0,549
550,controlling access to published data using cryptography,"g miklau , d suciu","proceedings of the international conference on very large & hellip ; ,",2003.0,550
551,"y. , m. 1994 . fast subsequence matching in time-series databases","c faloutsos , m ranganathan",proc . int . conf . on management of,,551
552,event specification in an object-oriented database system,"nh gehani , hv jagadish , o shmueli",proc . acm sigmod international conference on management of,,552
553,view indexing in relational databases,n roussopoulos,"acm transactions on database systems ,",1982.0,553
554,a sound and complete distriubted algorithm for distributed commerce transactions,"s ketchpel , h garcia-molina","technical report sidl-wp-1996-0040 , stanford university ,",,554
555,editorial,"d hopwood , me boon","the histochemical journal ,",1988.0,555
556,wireless graffiti : data data everywhere,"t imielinski , b nath","int . conf . on very large data bases ( vldb ) ,",2002.0,556
557,stream processing of xpath queries,"a gupta , d suciu",sigmod,,557
558,"tsichritz ~ s , d. zeta : a relational data base management system","b czarnik , sa schuster , d tsichritzis","proc . acm pacific conf ,",,558
559,guest editorial,"a el abbadi , g schlageter , ky whang","the vldb journal the international journal on very large & hellip ; ,",2001.0,559
560,a uniform behavioral temporal object model,"ia goralwalla , y leontiev , mt ozsu , d szafron",,,560
561,an overview of data warehouse design approaches and techniques,"a gutiã © rrez , a marotta",,,561
562,composite event specification in active database systems,"nh gehani , hv jagadish , o shmuheli","proc . of the 18th int . conference on vldb , august ,",,562
563,editors ' notes,"r picciotto , rc rist","new directions for program evaluation ,",1995.0,563
564,readers rate the web,m miller,pc,,564
565,the coral deductive database system .,"acms anthology , p edition",,,565
566,quickstore : a high performance mapped object store,"sj white , dj dewitt","the vldb journal the international journal on very large & hellip ; ,",1995.0,566
567,ozone : integrating structured and semistructured data,"s abiteboul , r goldman , t lahiri , j mchugh , j","technical report , stanford university database group ,",,567
568,optimized two dimensional optimization rules,"t fukuda , y morimoto , s morishita , t tokuyama","proc . sigmod ,",,568
569,tutorial : semistructured data,p buneman,"proceedings of acm symposium on principles of database & hellip ; ,",,569
570,semantics and implementation of schema evolution in object-oriented databases,"j barnejee , w kim , hj kim , h korth","sigmod records ,",1987.0,570
571,on supporting containment queries in relational database management systems,"c zhang , j naughton , d dewitt , q luo , g lohman","sigmod conference ,",2001.0,571
572,sql-like operator for mining association rules,"r meo , g psaila , s ceri , a new","proceedings of international conference on very large & hellip ; ,",,572
573,parametric query optimization . 18th vldb conf,"ye ioannidis , rt ng , k shim , tk sellis","vancouver , bc , canada ,",,573
574,a logical foundation for deductive object-oriented databases,"m liu , g dobbie , tw ling","acm transactions on database systems ,",2002.0,574
